,TS5b,TS5c,TS5d,TS8b,TS9b,TS9d,TS6a,TS6b,TS6c,TS6d,TS6e,TS6f,TS7a,TS7c,TS7e,TS7f,TS7g,TS7h,TS8a,TS8d,TS8J,TS8K,TS8L
TRINITY_DN38399_c0_g1,0.522,0.27,0.153,0.678,0.109,0.77,0.43,0.325,0,1.539,0.608,0.488,0.324,0.238,0.204,0.398,0.981,1.334,1.748,3.921,1.595,1.546,2.84
TRINITY_DN38404_c0_g2,0.422,0.165,0.161,0,1.377,1.089,0.684,1.453,0,0,1.896,1.17,0,2.278,0,0,0,0,2.875,0,0,0,0
TRINITY_DN38405_c0_g1,0.669,1.069,0.338,0.836,0.739,1.868,0.912,0.889,0.42,2.587,2.64,1.043,0.185,1.826,0,0.755,24.003,1.891,2.761,16.312,5.301,3.245,10.767
TRINITY_DN38412_c0_g1,0.587,0.156,0.298,0.548,0.327,0,0.325,0.393,0.184,0.849,0.181,0,0,0.181,0,0,0.313,0.622,1.075,0.647,0.263,0,1.291
TRINITY_DN38418_c0_g1,0.999,0,0,0.465,0,0,0.412,0.744,0.236,0,0.68,0,0,0,0,0,0,0.79,0.341,0.827,0.323,0.306,4.343
TRINITY_DN3842_c0_g1,0.055,0,0.048,0.158,0,0.244,0.421,0.06,0.21,0.995,0.372,0.101,0.092,0.312,0.392,0.249,1.526,0.427,0.641,2.536,0.384,0.85,0.258
TRINITY_DN38426_c0_g1,0.156,1.269,0.732,0.595,0.781,0.329,0.649,0.154,0.149,0,1.007,0.589,0.262,0.288,0.482,0.398,0,0,2.834,0,0,0,0.349
TRINITY_DN38427_c0_g1,1.512,0.33,3.943,0.66,0.168,0.544,0.667,0.308,0.473,2.229,0.426,0.749,0.508,0.641,0.392,0.738,1.185,0.868,1.417,1.295,2.666,0.696,3.599
TRINITY_DN38431_c0_g1,2.09,0.496,0.885,1.719,0.437,1.305,0.57,1.137,0.901,3.568,1.86,1.935,0.362,1.669,0.67,0.672,6.961,4.48,4.757,5.935,7.503,5.055,9.491
TRINITY_DN38435_c0_g1,0,0,0.137,0,0.571,0.366,0.711,0.171,0,0.756,0.154,0,0,0.156,0,0,0,0,1.189,0,1.373,0,1.139
TRINITY_DN38436_c0_g1,1.017,0.113,4.16,0.269,0.361,0.15,0.597,0.727,0.271,1.897,0.263,0.673,0.139,0.263,0.441,0,0.954,1.23,0.403,0.971,1.232,0.362,3.888
TRINITY_DN38437_c0_g1,0.917,0.409,0.33,1.366,0.764,2.788,0.684,0.881,0.823,5.134,1.669,0.841,0.416,0.345,0.253,0.465,0.286,0.764,3.289,2.644,7.573,0.474,14.001
TRINITY_DN3844_c0_g1,0.357,2.443,0.241,1.71,2.402,0.638,0.237,0.162,1.173,1.472,0.49,0.884,2.604,1.225,1.119,0.44,0.422,1.101,1.293,2.086,1.747,1.504,1.625
TRINITY_DN3844_c0_g2,0.302,0.243,0.032,0,0,0,0.456,0.496,0.053,1.035,0.308,0.261,0,0.041,0.172,0.05,2.289,0,0.827,0.953,2.161,0.139,3.068
TRINITY_DN38447_c0_g1,0.348,0.287,0.089,0.223,0.101,0,0.772,0.47,0.219,1.87,0.218,0.648,0.385,0.107,0.09,0.796,1.158,0.505,2.771,1.385,7.19,0.571,6.834
TRINITY_DN3845_c0_g1,0.495,0.122,0.314,0.232,0.244,0.742,0.57,0.496,0.42,0.716,0.599,0.269,0.085,0.041,0.229,0.124,0.913,0.842,2.699,3.039,1.868,1.588,4.404
TRINITY_DN38469_c0_g1,0.422,0.348,0.145,0.279,0.202,0.385,0.544,0.12,0.28,0.796,0.617,0.673,0,0.058,0.188,0.108,1.417,0.712,1.696,1.96,1.959,1.045,2.627
TRINITY_DN38473_c0_g1,0.321,0.261,0,0.149,0.269,0.338,0.526,0.162,0,0.703,0.145,0.151,0.131,0.296,0,0.274,0.79,0.855,1.789,1.079,1.293,0.599,2.156
TRINITY_DN38475_c0_g1,1.182,0.548,0.612,0.994,0.521,1.239,0.518,0.727,0.761,4.338,0.816,1.035,0.47,0.773,1.127,0.572,3.978,2.939,5.491,6.852,11.744,3.579,8.808
TRINITY_DN38477_c0_g1,0,0,0,0,0,0,0.623,0,0.236,1.844,0,0.707,0,0.23,0,0,2.929,0.401,0,0.845,1.01,0.46,4.541
TRINITY_DN38481_c0_g1,0,0.061,0,0,0,0,0.325,0.256,0.333,0,0.082,0,0.116,0,0,0.324,0,0,0,1.583,0,0,0
TRINITY_DN38481_c0_g2,0.394,0,0.161,0.65,0.252,0.535,0.14,0.325,0,5.187,0.735,0.64,0,0.452,0.425,0.075,2.507,2.836,1.892,3.669,1.616,4.081,4.799
TRINITY_DN38493_c0_g1,0.312,0,0,0.177,0.571,0.394,0.456,0.12,0,0.265,0.172,0.059,0,0.115,0.049,0.05,0.409,0,2.172,0.953,1,0.084,0.425
TRINITY_DN38501_c0_g1,0.385,1.443,0.064,0.074,0.512,1.08,0.57,0.154,0.07,0.226,2.368,1.001,0.324,1.192,1.184,0.597,0,0,1.944,0,0,0,0
TRINITY_DN38502_c0_g1,1.531,1.426,0.378,0.641,0.663,2.675,0.693,0.53,0.7,4.258,0.789,0.438,0.439,0.576,0.694,0.954,5.776,3.639,4.312,6.888,8.523,2.368,8.124
TRINITY_DN38505_c0_g1,0.55,0.643,0.217,0.372,0.378,0.498,0.377,0.427,0.315,1.738,0.572,0.421,0.177,0.469,0.376,0.158,1.485,0.945,2.834,2.554,7.604,1.212,8.064
TRINITY_DN38506_c0_g1,2.035,0.922,0.652,1.208,0.94,1.22,0.93,0.385,1.47,4.484,1.315,0.783,0.532,0.65,0.49,0.523,5.422,2.81,3.878,5.449,7.583,4.15,8.124
TRINITY_DN38520_c0_g1,0.174,0,1.086,0,0,0,0.289,0,0.166,0.252,0,0.328,0.146,0,0,0.149,1.158,1.489,0.734,0,0.464,0,0.774
TRINITY_DN38538_c0_g1,0,0,0.105,0.13,0.118,0,0.456,0,0.131,1.406,0,0,0,0,0,0,0.45,0.142,0,0.701,0,0.167,2.156
TRINITY_DN38540_c0_g1,0,0.139,0,0,0.143,0.742,0.439,0.18,0.831,0.252,0.49,0.328,0,0.641,0.27,0.149,0.872,0.376,0.734,0.881,0.939,0.223,1.169
TRINITY_DN38542_c0_g1,0,0,0,0,0,0,0.623,3.796,0,0.438,0.553,0.993,0,0.28,0,0.133,0.504,0.803,0,0,0.202,0.181,0
TRINITY_DN38549_c0_g1,0.229,0.217,0.105,0.214,0.084,0.357,0.518,0.299,0.096,1.406,0.553,0.522,0,0.09,0.18,0.083,0.831,0.816,0.796,0.629,1.08,0.251,0.835
TRINITY_DN3855_c0_g1,0.018,10.206,0.016,0.706,0,4.684,16.247,0,0.044,0,3.411,0,0,0,0,0,0,0,1.241,1.223,0,0,0
TRINITY_DN3855_c0_g2,0.018,0.869,0.016,0.706,0,4.684,0.088,0.564,0,7.946,3.411,5.907,1.471,4.104,0,5.45,0,6.656,1.241,1.223,0,0.265,8.686
TRINITY_DN38553_c0_g1,0.321,0.348,0.08,0.4,0.176,0.451,0.439,0.214,0.096,0.464,0.29,0,0,0.387,0.327,0.183,0.708,0.337,1.923,1.079,1,0.655,3.842
TRINITY_DN38557_c0_g1,0.752,0.278,0.056,0.316,0.395,0.732,0.395,0.684,0.131,1.393,0.953,0.69,0.223,0.436,0.212,0.174,2.043,1.528,2.865,1.511,2.575,2.952,5.285
TRINITY_DN38568_c0_g1,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN38569_c0_g1,1.852,0.939,1.03,1.329,0.529,2.553,0.456,0.906,1.112,4.457,1.47,1.565,0.393,0.757,0.49,0.813,5.831,2.719,6.101,6.564,7.594,4.805,17.054
TRINITY_DN38574_c0_g1,1.76,1.426,1.046,0.39,0.605,1.436,1.105,0.829,0.385,3.17,1.433,0.867,0.686,0.757,0.637,1.419,1.199,3.095,3.609,6.834,6.099,3.565,8.641
TRINITY_DN38576_c0_g1,0.11,0.687,0.161,1.087,0.084,0.676,0.518,0.633,0.201,1.075,0.88,0.976,0.347,1.061,0.245,0.274,1.921,0.79,2.947,2.14,3.251,0.515,6.667
TRINITY_DN38586_c0_g1,0.422,0,0,0.994,0,0.441,0.868,0.214,0.201,1.22,0.191,0,0,0.387,0.163,0.183,0.695,0.453,3.195,1.403,4.463,0.251,4.176
TRINITY_DN38588_c0_g1,0.761,0.261,1.151,1.189,0.898,2.253,0.939,0.385,0.42,0.093,1.479,0.942,0.947,0.403,1.274,0,0,0,2.048,0.324,0,0,0.152
TRINITY_DN38597_c0_g1,0.211,0.261,0,0.307,0.269,0.347,0.526,0,0,0,0,0.395,0,0.296,0,0.365,0.708,0.453,1.799,0.54,1.868,0.139,1.458
TRINITY_DN386_c0_g1,0.632,0,0.467,0.242,0,0,0.535,0,0,0.093,0,0.059,0.216,0,0,0.058,0.981,0.207,0.455,0,0,0,1.488
TRINITY_DN386_c0_g2,0.202,0,0,0,0,0,0.14,0,0.236,0,0.154,0,0,0.074,0.384,0,0,0,0,0.575,0.444,0.306,2.278
TRINITY_DN3860_c1_g1,0.165,0.261,0,0.307,0,0.169,0.535,0.162,0.306,0.955,0.445,16.728,0,0.444,0.376,1.526,1.607,0,0.9,3.003,3.474,1.602,2.172
TRINITY_DN38600_c0_g1,0.495,4.416,0.386,0.623,2.611,2.272,0.816,2.813,1.715,0.478,3.339,0.614,1.903,2.566,1.388,0.846,0,0,3.899,0,0,0,0
TRINITY_DN38619_c0_g1,0.183,0,0.137,0.167,0,0,0.746,0,0,0.531,0.662,0,0.146,0,0.139,0,0.899,0.583,1.51,2.14,2.656,0.223,4.024
TRINITY_DN38620_c0_g1,0.037,0.617,0,0,0,0.817,0.965,7.319,0.035,0.106,0.191,1.304,0.116,0.345,0,0.597,0.177,0.479,2.234,0,0.606,0.042,0
TRINITY_DN38628_c0_g1,0.312,0.252,0.201,0.288,0.26,0.61,0.509,0.462,0.193,1.353,0.236,0.194,0.085,0.378,0.196,0.398,1.648,0.557,3.185,2.032,1.111,0.961,6.378
TRINITY_DN38632_c0_g1,0.357,0.113,0,0.204,0.059,0.15,0.412,0.068,0.07,1.154,0.136,0.067,0,0.132,0.057,0.058,0.123,0.078,1.706,1.583,2.605,1.323,1.458
TRINITY_DN38647_c0_g1,0.394,0.156,0,0,0,0.62,0.491,0,0.184,0.57,0,0,0,0.362,0,0.672,0.967,0.634,0.548,1.331,0.525,0.487,2.627
TRINITY_DN38658_c0_g1,0,0,0.153,0.753,0.168,0,0.658,0,0,0.292,0.363,0,0,0.181,0,0.34,0.654,0,0.827,0.665,1.595,0,0.881
TRINITY_DN38669_c0_g1,0.642,0.191,0.185,0.372,0.134,1.108,0.325,0.641,0.446,0.822,0.372,0.151,0.2,0.436,0.123,0.141,1.063,1.023,2.678,2.176,3.231,1.379,3.447
TRINITY_DN3867_c0_g2,1.567,0.469,0,0.39,0.479,0.882,0.675,0.085,0.7,1.924,0.762,0,0.339,0.074,0.065,0.357,4.4,3.794,0.579,4.91,1.444,3.468,3.371
TRINITY_DN38670_c0_g1,1.494,0.174,0.491,0.4,0,0,0.526,1.907,1.995,2.467,1.742,0.597,0,0.584,0.163,0.539,2.084,4.053,4.095,7.427,5.342,1.295,7.487
TRINITY_DN38673_c0_g1,0.064,0.113,0.161,0.158,0.084,0.113,0.307,0.342,0.385,0,0.345,0,0.139,0.033,0.727,0.581,0,0.104,0.186,0.054,0,0.167,0
TRINITY_DN38674_c0_g1,5.005,0.139,0.161,0.781,0.034,1.08,0.649,0.333,0.788,1.963,0.236,0.227,0.039,0,0.294,0.398,2.384,5.477,1.293,0.575,1.02,3.788,9.704
TRINITY_DN3868_c0_g1,0.898,0.574,0.314,0.279,0.336,0.864,0.825,0.556,0.516,1.764,0.562,0.648,0.208,0.551,0.466,0.083,3.024,1.127,3.95,2.662,2.918,1.003,7.593
TRINITY_DN38680_c0_g1,1.714,0.556,0.266,0.808,0.285,0.357,0.561,1.881,0.963,1.738,0,0.64,0.139,0.781,0,1.601,2.806,3.095,2.606,4.298,4.09,2.298,5.695
TRINITY_DN38697_c0_g1,0.302,0.052,0,0.288,0.613,0.526,0.254,0.06,0.061,0.809,0.508,0,0.254,1.727,0.237,0.207,0.926,0.596,1.117,1.259,2.06,1.281,4.328
TRINITY_DN38698_c0_g1,0.577,0.2,0.113,0.186,0.16,0.263,0.518,0.342,0.271,1.565,0.499,0.135,0.2,0.395,0.147,0.124,0.572,0.414,2.461,1.331,3.413,0.543,6.454
TRINITY_DN387_c0_g1,1.201,0.322,0.306,0.558,0,0,0.816,0,0.184,0.584,0.363,0,0,0.362,0,0.166,0.981,0.207,0.827,2.662,1.06,0.724,3.523
TRINITY_DN38705_c0_g1,0.706,0.191,0.459,0.112,0.101,1.004,0.386,0,0.333,1.725,0.327,0.219,0.1,0.107,0.09,0.705,0.776,0.881,2.802,1.205,3.009,1.448,4.525
TRINITY_DN3871_c0_g1,2.209,97.742,2.889,0.437,0,0,0.763,0.923,0.98,0.504,0,1.186,1.433,0.107,0.8,0.597,0,0.246,0,0,0,0,0.79
TRINITY_DN38719_c0_g1,0.935,0.591,0.161,0.483,0.428,0.441,0.763,0.205,0.385,2.719,1.243,0.572,0.085,0.09,0.474,0.265,1.376,1.774,2.885,7.194,8.462,1.908,9.81
TRINITY_DN38738_c0_g1,0.202,0.27,0,0.344,0,0.535,0.579,0.12,0.079,1.87,0.581,0.042,0.1,0.074,0.033,0.357,4.223,1.554,0.807,8.201,1.06,2.507,2.278
TRINITY_DN38741_c0_g1,0.22,0.356,0,0,0.185,0.469,0.368,0,0.21,0.968,0,0.21,0,0.206,0.335,0,2.18,0.712,2.761,2.23,2.646,1.086,2.931
TRINITY_DN38744_c0_g1,0.33,0.2,0.257,0.316,0.067,0.441,0.544,0.248,0.551,1.459,0.544,0.463,0.139,0.452,0.384,0.075,0.695,0.803,2.916,2.841,2.807,0.933,2.278
TRINITY_DN3875_c0_g1,0.532,0.104,0.177,0.297,0.311,1.051,0.518,0.41,0.56,0.876,0.499,0.379,0.054,0.312,0.147,0.083,0.736,0.712,2.296,3.345,5.231,0.543,5.998
TRINITY_DN3875_c1_g1,0,0.148,0.282,0.167,0,0.563,0.447,0.718,0.674,0.265,0.662,0,0,0,0.27,0.614,0.885,0.57,1.996,0.306,2.151,0.223,2.794
TRINITY_DN38759_c0_g1,1.045,0.895,0.41,0.799,0.235,0.46,0.544,0.71,0.359,3.343,0.798,0.353,0.162,0.387,0.515,0.207,2.398,2.137,3.806,4.064,3.797,2.298,8.823
TRINITY_DN38767_c0_g1,0.724,0.148,0.137,0.167,0,0.188,0.447,0,0.508,1.313,0.49,0,0.593,0.329,0,0,2.357,0.764,1.996,2.41,3.342,1.1,3.584
TRINITY_DN38772_c0_g1,0.651,0.4,0.225,0.576,0.269,0.479,0.439,0.205,0.42,1.366,0.762,0.749,0.478,1.036,0.286,0.456,1.362,1.567,6.236,5.018,4.847,3.036,5.695
TRINITY_DN38778_c0_g1,0.953,0.765,0.29,0,0,0.197,0.465,0.949,0,1.658,0.689,0.353,0.154,0.518,0.58,0.481,2.18,0.803,5.76,5.071,1.757,0.696,4.617
TRINITY_DN38782_c0_g1,0.302,0.313,0.056,0.214,0.252,0.084,0.377,0.077,0.219,2.242,0.644,0.564,0.254,0.559,0.351,0.066,0.899,0.816,3.113,1.834,15.702,1.323,7.669
TRINITY_DN38801_c0_g1,0.568,0.452,0,0,0,0.197,0.614,0.376,0.7,1.366,0.517,0.353,0.308,0.337,0.286,0,1.539,1.398,0.517,3.129,3.979,1.379,4.556
TRINITY_DN38818_c0_g1,0.376,0.226,0.072,0.26,0.076,0.103,0.386,0,0,1.924,0,0,0,0.255,0.212,0,0,0.699,2.234,0.953,1.131,0.808,2.126
TRINITY_DN38824_c1_g1,0.559,0.374,0.217,0.52,0.621,0.498,0.763,0.368,0.525,1.088,0.771,0.084,0.693,0.082,0.637,0.639,2.003,0.997,1.81,3.147,6.654,1.713,4.207
TRINITY_DN38827_c0_g1,0.761,0.322,0.161,0.595,0.252,0.826,0.465,0.333,0.28,2.096,0.59,0.303,0.054,0.419,0.335,0.315,1.785,1.502,3.557,2.913,3.968,1.894,6.348
TRINITY_DN38836_c0_g1,0.632,0.13,0,0,0,0,0.263,0.316,0,0.69,0.435,0.151,0,0.436,0,0,0.259,0.337,0.662,1.601,2.1,0.39,1.762
TRINITY_DN38838_c0_g1,0.953,1.035,1.247,2.091,0.462,0.939,0.588,0.718,0.823,2.56,1.47,1.027,0.131,0.288,0.425,0.274,2.384,0.337,2.337,2.158,2.676,0.682,14.442
TRINITY_DN38850_c0_g1,0.779,1.113,0.764,2.1,0.89,2.497,0.325,0.197,0,2.282,0,0,0.401,0.263,0.147,1.419,0.327,1.981,19.876,18.02,8.119,4.443,30.858
TRINITY_DN38853_c0_g1,0.165,0.13,0.257,0.158,0,0.178,0.544,0.325,0.158,0.239,0.608,0.151,0.408,0,0.629,0.423,0.545,0.35,2.513,0.558,2.625,0.404,2.566
TRINITY_DN38857_c0_g1,0,0,0,1.254,0,0.047,1.184,0,0,0.066,0,0.042,0,0,0.065,0.34,0,0.052,0.548,0,0.121,0,0
TRINITY_DN38857_c0_g2,0,0,0,0.548,0,0,4.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN38868_c0_g1,0,0,0.692,0.353,0,0,0.316,0,1.917,2.043,0.871,0.926,0,0.222,0,0,3.542,3.936,1.334,6.798,0.343,3.356,15.353
TRINITY_DN38868_c0_g2,3.877,0.982,0,0.353,0.537,1.033,0.316,4.942,0,0.252,0.218,0,0.331,0.222,0.988,0.514,1.771,1.748,3.185,0,6.877,0.724,0.668
TRINITY_DN38875_c0_g2,0.944,0.695,0.636,0.929,1.503,1.427,0.544,0.898,0.709,6.925,1.279,1.001,0.47,0.773,0.474,0.166,5.722,4.467,4.054,6.96,4.221,6.337,8.352
TRINITY_DN38885_c0_g1,1.109,2.252,0.652,0.52,0.924,0.986,1.219,0.556,0.438,3.104,3.166,1.195,0.616,0.164,0.425,0.871,0.613,1.191,2.327,1.421,3.847,0.223,19.681
TRINITY_DN38895_c0_g1,0.147,0.113,0.225,0.678,0.714,1.061,0.588,0,0.403,1.671,0.526,0.665,0.116,0.65,0.547,0.365,0.232,1.839,2.989,4.838,1.151,1.755,3.842
TRINITY_DN389_c0_g1,0,0,0,0,0,0,1.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN3890_c0_g1,28.645,14.318,3.146,10.24,13.192,108.226,11.36,4.523,23.578,11.408,15.041,14.473,9.637,14.054,22.997,78.537,19.63,5.944,13.133,86.557,113.095,15.18,3.402
TRINITY_DN3890_c0_g2,127.406,138.045,121.173,155.869,129.407,31.71,140.614,138.543,119.694,120.65,130.529,127.197,137.985,152.964,107.449,81.681,128.94,131.275,98.397,34.403,26.941,123.099,107.122
TRINITY_DN38903_c0_g1,0,0.756,0,0.669,0.386,1.718,0.579,0.47,0.446,1.021,0.426,1.33,0.193,0,0.359,0,2.302,0.246,1.944,1.96,4.665,0.571,8.777
TRINITY_DN38909_c0_g1,0.257,0.209,0.137,0.242,1.083,0.282,0.64,0.085,0.324,0.133,0.399,0.16,0.069,0.312,0.27,0.448,0.722,0.091,2.678,1.043,2.575,0.32,2.566
TRINITY_DN3891_c0_g1,0.935,0.209,0.129,0.632,0.42,0.366,0.974,0.427,0.158,1.366,0.472,0.547,0.354,0.312,0.327,0.149,1.975,1.45,2.73,5.054,3.191,0.836,5.194
TRINITY_DN38920_c0_g1,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN38929_c0_g1,0,0,0.338,0.242,0.143,0.366,0.5,0,0.324,0.133,0.562,0,0.362,0.238,0,0.224,0.572,0.466,1.458,1.475,0.232,0.32,2.156
TRINITY_DN3896_c0_g1,0.302,0.487,0,0.688,0.722,0.573,0.368,0.333,0,2.719,1.914,0.311,0.193,0.543,0.719,0.199,2.425,1.502,4.86,3.813,1.797,2.228,3.493
TRINITY_DN3896_c0_g2,0.302,0,0,0,0,1.145,0.456,0,0.254,1.075,0,0,0.193,0,0,0.199,0.804,1.075,0,3.813,0.353,0,0
TRINITY_DN38973_c0_g2,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN38981_c0_g1,9.047,1.321,0.378,2.314,0.949,3.286,0.807,6.549,3.545,4.059,1.805,1.683,0.94,1.192,1.993,1.253,14.822,11.162,8.635,4.406,16.793,7.618,13.121
TRINITY_DN38984_c0_g1,0.862,0.096,0.861,0.808,0.285,1.117,0.895,0.171,0,0.08,0.644,0,0.092,0.156,0.531,0.299,0,0,1.613,0,0.232,0,0.258
TRINITY_DN38991_c0_g1,0.202,0.556,1.175,0.316,1.595,1.68,0.281,0.479,0.516,0.106,2.032,0.311,0.116,1.365,1.209,0.589,0,0,3.537,0,0,0,0
TRINITY_DN390_c0_g1,0,0,0,0,0,0,0.281,0.958,0.578,0.239,0.408,0,0.27,0.419,0,0,0,0,0,4.064,8.947,0,4.282
TRINITY_DN390_c0_g2,1.888,0.704,0.684,1.431,0.512,2.413,0.43,0.573,0.578,7.681,1.823,1.885,0.408,0,0.711,0.921,8.296,4.105,7.167,4.748,0.717,4.498,6.014
TRINITY_DN39008_c0_g1,0.541,0.878,0.491,0.678,1.427,2.215,0.518,0.992,0.595,0.929,1.089,0.917,0.824,2.714,0.417,1.551,0.599,1.062,2.771,1.223,0.969,2.005,2.05
TRINITY_DN39026_c0_g1,0.348,1.13,3.75,2.044,1.159,2.084,0.614,0,0.656,1.234,0.045,0.042,0.039,0.132,0.302,0.257,0.245,1.114,12.192,0.162,1.141,5.236,33.303
TRINITY_DN3904_c0_g1,0.642,0,0.032,0.13,0.092,0.385,0.386,0.18,0.333,1.778,0.036,0.328,0,0.033,0.057,0.058,5.599,0.622,1.107,1.475,1.07,2.005,0.911
TRINITY_DN3904_c0_g2,0.605,0.165,0,0.381,0,0.216,0.412,0.607,0.28,1.327,0.091,0.564,0,0.09,0,0.083,5.517,0.427,0.703,0.683,1.484,2.98,0.683
TRINITY_DN39041_c0_g1,0.862,1.191,0.805,1.208,0.428,2.206,0.711,2.668,2.984,6.023,1.914,1.986,0.501,1.875,0.466,0.075,2.725,6.345,12.978,12.283,2.656,2.228,15.399
TRINITY_DN39062_c0_g1,0.229,0.113,0.032,0.214,0.076,0.197,0.667,0.043,0,1.526,0.417,0.126,0,0.206,0.172,0.274,0.831,0.725,2.089,2.554,7.816,0.78,3.417
TRINITY_DN39067_c0_g1,0.587,1.182,0.153,0,0.16,0,0.316,0.291,0.368,1.141,0.272,0,0.239,0.09,0.67,0,0.49,1.554,1.624,2.806,2.737,1.922,10.114
TRINITY_DN39071_c0_g1,0.284,0.304,0.298,0.353,0.16,0.807,0.623,0.658,0.446,0.69,0.091,0.261,0.154,0.345,0.58,0.564,1.253,0.712,3.961,2.572,1.141,1.045,1.276
TRINITY_DN39075_c0_g1,0.44,0.148,0.072,0,0,0.563,0.658,0,0.079,1.167,0.408,0.16,0,0.403,0.139,0.075,0.586,0.194,1.603,0.755,4.524,0.223,1.807
TRINITY_DN3908_c0_g1,0.889,0.287,0,0.418,0.193,0.995,0.474,0.667,0.175,3.568,0.826,0.698,0.516,0.304,0.196,0.34,4.918,2.525,5.357,3.417,2.474,0.836,8.033
TRINITY_DN3908_c0_g2,0,0,0.29,0,0.143,0.3,0.298,0,0.07,0,0.345,0,0,0.296,0.09,0.241,0,0,0,0,0.343,0.209,0
TRINITY_DN39087_c0_g1,0.825,0.261,0.507,0.92,0.815,0.695,0.272,0.162,0,0.955,0,0.454,0.539,0,0.376,0,1.349,1.217,10.672,4.406,6.543,0.808,20.41
TRINITY_DN39089_c0_g1,0,0.287,0,0.112,0.101,0,1.246,0,0,1.194,0,0,0,0,0,0,0,0.129,0.486,0.198,0.313,0.432,8.671
TRINITY_DN39095_c0_g1,0.632,0.522,0.169,0.279,0.285,0.826,0.351,1.103,0.438,2.176,0.943,1.052,0.246,0.304,0.196,0.216,2.071,1.916,2.203,2.464,2.524,1.365,5.345
TRINITY_DN39096_c0_g1,0.11,0,0.257,0,0.092,0.582,0.36,0,0.306,0.478,0.1,0.202,0,0.099,0.163,0.091,0.177,0.583,0.155,0.36,1.161,0.404,0.729
TRINITY_DN39100_c0_g1,0.385,0.556,0.072,0.269,0.16,0.723,0.64,1.069,0.271,4.537,0.454,0.446,0.485,0.181,0.294,0.332,2.098,0.725,4.747,1.978,9.785,1.434,10.114
TRINITY_DN39109_c0_g1,0.128,0.209,0.394,0,0,0.272,0.412,0.128,0,0,0.236,0.118,0,0,0.098,0,0.204,0,1.231,1.061,0.677,0.933,0.85
TRINITY_DN3912_c0_g1,406.94,456.977,406.658,482.372,410.094,422.428,446.134,512.516,476.482,539.391,500.433,459.156,399.211,404.75,422.389,404.822,582.374,459.67,570.415,524.702,739.754,343.365,823.032
TRINITY_DN39121_c0_g1,0.165,0.27,0,0,0.134,1.408,0.412,0.333,0,0.491,1.225,0.151,0.277,1.217,0.131,0.282,1.362,1.062,0.465,2.23,1.767,1.421,2.217
TRINITY_DN39122_c0_g1,0,0.148,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN39152_c0_g1,0,0.165,0,0,0.176,0.441,0.693,0,0.394,2.733,0.191,0.194,0,0,0,0.174,1.376,1.334,1.448,3.147,0.555,3.579,1.382
TRINITY_DN39159_c0_g1,0.312,0,0.064,0.074,0.202,0.253,0.649,0.316,0.298,1.393,0.517,0.076,0.131,0.14,0.123,0.274,1.321,0.505,0.889,0.809,1.383,0.39,2.156
TRINITY_DN39160_c0_g1,0,0,0,0,0,0,0.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN39169_c0_g1,0.367,0.887,0.282,0.344,0.605,0.695,0.711,0.359,0.271,0.106,1.615,0.934,0.239,0.132,0.89,0.373,0.123,0.078,2.74,0,0,0,0
TRINITY_DN3917_c0_g1,75.45,73.452,66.03,92.016,41.918,82.261,65.408,79.942,80.861,66.208,87.219,82.615,67.949,74.883,80.074,81.233,82.036,76.217,50.755,43.431,40.684,68.729,38.405
TRINITY_DN3917_c0_g2,0.238,0,6.349,0.204,0,0.207,10.22,0.727,0.411,0,0,0,0,0,0,0.34,0.341,1.955,0.683,0,1.363,0,0
TRINITY_DN39173_c0_g1,1.32,0.939,0.676,0.976,0.722,1.981,1.228,1.556,0.919,6.155,1.715,1.33,0.67,0.946,1.192,0.498,4.822,3.522,9.131,9.837,6.685,4.568,12.377
TRINITY_DN39187_c0_g1,1.512,0.669,0.483,0.641,0.285,1.249,0.447,0.41,0.385,1.711,1.089,0.252,0.686,0.559,0.637,0.473,2.983,0.738,4.716,3.633,5.372,0.85,4.692
TRINITY_DN39197_c0_g1,0.119,0.296,0.097,0,0,0,0.605,0.487,0.228,0.716,0,0.345,0,0.115,0.09,0.207,1.621,1.049,1.189,1.025,1.636,0.446,1.382
TRINITY_DN39198_c0_g1,1.072,2.191,1.215,1.171,1.243,2.563,1.123,0.778,1.068,4.364,2.604,2.423,1.14,0.921,1.192,0.921,3.092,3.004,15.129,11.402,13.279,2.507,22.749
TRINITY_DN392_c0_g1,0,0.191,0,0.112,0.101,0.122,0.289,0,0.114,1.021,0.218,0.109,0.1,0.107,0,0,0,0.246,1.138,0.989,1.091,0.292,1.048
TRINITY_DN39200_c0_g1,1.971,3.808,1.11,0.13,1.553,16.043,0.579,0.795,0.884,1.101,2.404,1.38,0.039,0.428,0.221,0.888,1.975,0.207,0,8.039,4.514,0.404,9.643
